LAMMPS data file via write_data, version 16 Mar 2018, timestep = 900000

 33616 atoms
 0 bonds
 0 angles
 0 dihedrals
 0 impropers
 16 atom types
 0 bond types
 0 angle types
 0 dihedral types
 0 improper types

0 199.869129 xlo xhi 
0 29.980369 ylo yhi  
-70  70 zlo zhi  

Masses

1 12.0112
2 15.9994
3 15.9994
4 12.0112
5 14.0067
6 12.0112
7 12.0112
8 15.9994
9 15.9994
10 12.0112
11 12.0112
12 32.064
13 1.008
14 1.00797
15 1.00797
16 2.0159

 Atoms # atomic

1	1	131.373768 	15.738520 	41.382569 
2	2	130.729204 	16.919462 	41.191246 
3	3	131.833117 	15.364026 	42.466160 
4	4	131.361370 	14.845393 	40.221039 
5	4	130.958755 	15.243588 	38.910962 
6	4	131.211899 	14.430591 	37.828586 
7	4	131.954707 	13.269810 	37.960390 
8	5	132.466539 	12.967479 	39.190861 
9	4	132.089900 	13.711859 	40.225389 
10	6	130.713514 	14.843858 	36.465411 
11	7	130.720341 	13.709782 	35.449297 
12	6	132.028180 	13.023989 	35.485529 
13	6	132.235363 	12.364279 	36.856408 
14	8	129.644720 	12.819237 	35.804653 
15	4	128.456511 	13.226638 	35.161151 
16	4	128.295085 	12.705792 	33.835556 
17	4	127.110941 	13.048636 	33.140104 
18	4	126.271114 	13.914889 	33.779724 
19	4	126.465187 	14.497451 	35.013102 
20	4	127.539621 	14.124059 	35.718037 
21	9	125.568421 	15.371018 	35.469952 
22	8	129.193475 	11.908204 	33.234717 
23	10	128.952465 	10.617055 	33.808731 
24	6	126.821396 	12.544477 	31.804985 
25	11	126.902714 	13.637890 	30.723036 
26	7	126.035790 	13.478046 	29.520696 
27	6	124.649621 	13.925277 	30.039466 
28	4	123.968320 	14.009969 	28.778725 
29	4	124.866657 	14.330976 	27.745968 
30	7	126.272459 	14.342253 	28.282958 
31	3	127.573228 	14.636287 	30.865141 
32	1	127.754036 	13.958061 	27.982688 
33	3	128.448023 	14.768619 	27.402351 
34	2	128.136677 	12.745717 	28.423678 
35	4	124.357118 	14.587476 	56.448450 
36	4	123.013142 	14.458107 	56.228901 
37	4	122.144476 	14.010777 	27.277070 
38	4	122.595572 	13.725293 	28.517344 
39	10	125.291223 	15.117778 	55.377829 
40	6	122.367138 	14.663474 	54.908711 
41	8	121.974790 	15.946862 	54.535853 
42	4	120.649619 	15.813505 	53.955088 
43	4	119.566724 	16.340227 	54.669011 
44	4	118.278823 	16.293157 	54.056604 
45	4	118.135521 	15.745375 	52.769471 
46	4	119.214505 	15.288450 	52.063615 
47	4	120.439533 	15.208596 	52.737791 
48	6	116.824954 	15.739756 	51.982461 
49	6	116.212318 	17.150544 	51.900836 
50	12	114.601175 	17.085870 	51.137391 
51	13	130.849790 	17.603195 	41.809556 
52	14	130.422326 	16.217470 	38.693544 
53	14	132.562142 	13.418753 	41.192382 
54	14	131.405256 	15.657786 	36.172164 
55	14	129.702895 	15.335424 	36.488240 
56	14	130.494693 	14.160430 	34.483791 
57	14	132.751465 	13.860135 	35.308673 
58	14	132.149033 	12.235588 	34.685496 
59	14	133.315885 	11.956553 	36.861004 
60	14	131.609681 	11.474246 	36.823973 
61	14	125.356304 	14.100287 	33.236678 
62	14	127.669983 	14.495453 	36.767122 
63	15	125.998443 	16.215804 	35.503848 
64	14	129.884710 	9.949131 	33.680616 
65	14	128.197816 	10.108333 	33.193064 
66	14	128.681046 	10.671022 	34.824074 
67	14	125.807819 	12.164411 	31.675546 
68	14	127.493581 	11.716442 	31.702942 
69	14	126.038324 	12.448897 	29.303070 
70	14	124.677876 	14.906329 	30.590326 
71	14	124.219564 	13.143572 	30.692016 
72	14	126.426593 	15.341425 	28.729250 
73	13	129.034673 	12.447835 	28.219111 
74	14	121.073165 	13.856588 	26.996618 
75	14	124.715364 	15.916627 	54.911649 
76	14	125.596513 	14.506195 	54.612211 
77	14	126.221795 	15.566659 	55.896313 
78	14	121.540748 	13.946797 	54.802973 
79	14	123.012594 	14.266802 	54.105884 
80	14	119.667049 	16.666164 	55.693223 
81	14	118.992747 	14.814460 	51.099748 
82	14	121.207331 	14.892762 	52.000105 
83	14	116.031221 	15.070854 	52.458955 
84	14	117.140457 	15.460386 	51.017300 
85	14	116.981264 	17.772817 	51.369754 
86	14	116.162854 	17.502118 	52.930329 
87	9	121.723261 	13.284607 	29.416727 
88	15	122.181618 	12.941952 	30.215375 
89	1	103.436827 	4.703843 	38.380131 
90	2	102.684483 	4.053252 	37.465879 
91	3	103.850681 	5.788427 	38.242758 
92	4	103.590762 	3.895669 	39.669681 
93	4	102.945138 	2.675527 	39.766254 
94	4	102.998124 	1.895968 	40.895320 
95	4	103.698008 	2.522977 	41.990908 
96	5	104.284233 	3.698023 	41.965381 
97	4	104.267330 	4.437991 	40.792401 
98	6	102.569971 	0.505224 	40.851872 
99	7	103.012133 	29.739463 	42.110833 
100	6	102.807775 	0.665784 	43.320668 
101	6	103.801632 	1.792480 	43.269056 
102	8	102.076864 	28.676647 	42.262164 
